Student ID,Subject,Assignment Type,Grade,Grade Weight,Date of Assignment,Date Graded,Teacher ID,Cumulative GPA,Class Ranking,Historical Grades
S12345,Math,Mid-term exam,85,0.2,2022-01-15,2022-02-01,T001,3.5,5,"In the first semester of 8th grade, I scored 90% in math, and 80% in science. In the second semester, I scored 85% in math and 90% in science. In 9th grade, I scored 80% in math, 85% in science, and 90% in English. In 10th grade, I scored 90% in math, 80% in science, and 85% in English. I have consistently scored above 80% in all subjects."
S001234,Math,Mid-term,85,0.3,2023-03-01,2023-04-15,T001,3.4,7,"In 9th grade, I scored 92% in Math. I had difficulty with word problems but excelled in algebra. In 10th grade, I scored 88% in Math. I struggled with geometry but showed improvement in trigonometry. In 11th grade, I scored 90% in Math. I excelled in calculus but needed extra help with statistics."
S001,Math,Mid-term Exam,85,0.3,2023-01-15,2023-02-10,T001,3.4,5,"In 9th grade, I scored 80% in math. In 10th grade, I scored 90% in math. I struggled with algebra in 11th grade, scoring 60%. In 12th grade, I scored 95% in calculus."
S001,Math,Mid-term,85,0.3,2022-01-15,2022-02-10,T001,3.5,5,"In the first semester, I scored 90 in Math, 80 in Science, and 95 in History. In the second semester, I scored 85 in Math, 95 in Science, and 90 in History. In the third semester, I scored 95 in Math, 85 in Science, and 95 in History. I am particularly proud of my performance in History, where I consistently scored above 90."
S002,Science,Final exam,92,0.5,2022-05-20,2022-06-15,T002,3.7,2,"In the first year, I scored 80 in Math, 90 in Science, and 85 in History. In the second year, I scored 90 in Math, 95 in Science, and 90 in History. I have been focusing on improving my Math skills, and I am seeing positive results."
S003,History,Project,98,0.2,2022-03-01,2022-03-25,T003,3.9,1,"In the first semester, I scored 85 in Math, 80 in Science, and 90 in History. In the second semester, I scored 90 in Math, 95 in Science, and 95 in History. I have been working hard to improve my Science skills, and I am proud of my progress."
S004,Math,Homework,78,0.1,2022-02-01,2022-02-15,T004,3.2,8,"In the first year, I scored 80 in Math, 85 in Science, and 90 in History. In the second year, I scored 85 in Math, 90 in Science, and 85 in History. I am struggling with Math, but I am working hard to improve."
S005,Science,Mid-term,88,0.4,2022-04-15,2022-05-10,T005,3.6,4,"In the first semester, I scored 85 in Math, 80 in Science, and 90 in History. In the second semester, I scored 90 in Math, 95 in Science, and 90 in History. I have been focusing on improving my History skills, and I am seeing positive results."
S006,History,Final exam,95,0.6,2022-06-01,2022-06-20,T006,3.8,3,"In the first year, I scored 90 in Math, 85 in Science, and 95 in History. In the second year, I scored 95 in Math, 90 in Science, and 95 in History. I am proud of my consistent performance in History."
S007,Math,Project,92,0.3,2022-03-15,2022-04-10,T007,3.5,6,"In the first semester, I scored 85 in Math, 80 in Science, and 90 in History. In the second semester, I scored 90 in Math, 95 in Science, and 90 in History. I have been working hard to improve my Science skills, and I am proud of my progress."
S008,Science,Homework,80,0.2,2022-01-20,2022-02-05,T008,3.1,9,"In the first year, I scored 80 in Math, 85 in Science, and 90 in History. In the second year, I scored 85 in Math, 90 in Science, and 85 in History. I am struggling with Science, but I am working hard to improve."
S009,History,Mid-term,90,0.5,2022-05-01,2022-05-25,T009,3.9,1,"In the first semester, I scored 85 in Math, 80 in Science, and 90 in History. In the second semester, I scored 90 in Math, 95 in Science, and 95 in History. I am proud of my consistent performance in History."
S010,Math,Final exam,88,0.6,2022-06-15,2022-07-10,T010,3.6,4,"In the first year, I scored 80 in Math, 85 in Science, and 90 in History. In the second year, I scored 90 in Math, 95 in Science, and 90 in History. I have been focusing on improving my Math skills, and I am seeing positive results."
S011,Science,Project,95,0.4,2022-03-20,2022-04-15,T011,3.8,2,"In the first semester, I scored 85 in Math, 80 in Science, and 90 in History. In the second semester, I scored 90 in Math, 95 in Science, and 90 in History. I am proud of my consistent performance in Science."
S-12345,English Literature,Mid-term Exam,85,0.3,2023-02-15,2023-03-01,T-67890,3.6,10,"Prior to this year, I have consistently struggled with English Literature. In my sophomore year, I received a grade of 70 in the same course. However, with the help of my teacher, I have been able to improve my understanding of the subject. In my junior year, I scored 82 on a project that involved analyzing a novel. I am proud to say that I have made significant progress in this subject and am now better equipped to tackle more challenging material. In addition, I have also been working on my writing skills, which has helped me to improve my overall performance in the class. My grades have consistently improved over the years, with a cumulative GPA of 3.2 in my sophomore year and 3.5 in my junior year. I am confident that with continued effort, I will be able to excel in this subject."
